entity_id,type,code,canonical_name,tier,market_cap_bil,aliases,parent,gics1,gics2,gics3,sources
TICKER:ACL,TICKER,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,1,551.75,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang | Xuất nhập khẩu Thủy sản Cửu Long An Giang,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ACV,TICKER,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,1,139710.63,Tổng Công ty Cảng Hàng không Việt Nam - CTCP | Cảng Hàng không Việt Nam,,Công nghiệp,Cơ sở hạ tầng giao thông vận tải,Dịch vụ sân bay,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ADG,TICKER,ADG,CTCP Clever Group,2,171.04,CTCP Clever Group | Clever Group,,Hàng tiêu dùng không thiết yếu,Truyền thông và xuất bản,Truyền thông và xuất bản,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ADP,TICKER,ADP,CTCP Sơn Á Đông,1,541.44,CTCP Sơn Á Đông | Sơn Á Đông,,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ADS,TICKER,ADS,CTCP Damsan,1,611.16,CTCP Damsan | Damsan,,Hàng tiêu dùng không thiết yếu,Hàng tiêu dùng lâu bền và trang phục,"Dệt may & Trang phục, phụ kiện",company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AFX,TICKER,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,1,343.0,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang | Xuất nhập khẩu Nông sản Thực phẩm An Giang,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AGG,TICKER,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,1,1814.63,CTCP Đầu tư và Phát triển Bất động sản An Gia | Đầu tư và Phát triển Bất động sản An Gia,,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản phức hợp,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AGP,TICKER,AGP,CTCP Dược phẩm Agimexpharm,1,966.88,CTCP Dược phẩm Agimexpharm | Dược phẩm Agimexpharm,,Y tế,Dược phẩm & Công nghệ sinh học,Dược phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AGR,TICKER,AGR,CTCP Chứng khoán Agribank,1,2888.14,CTCP Chứng khoán Agribank | Chứng khoán Agribank,,Tài chính,Công ty chứng khoán,Công ty chứng khoán,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AGX,TICKER,AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,1,1544.4,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn | Thực phẩm Nông Sản xuất khẩu Sài Gòn,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AIC,TICKER,AIC,Tổng Công ty Cổ phần Bảo hiểm DBV,1,850.0,Tổng Công ty Cổ phần Bảo hiểm DBV | Bảo hiểm DBV,,Tài chính,Bảo hiểm,Bảo hiểm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AIG,TICKER,AIG,CTCP Nguyên liệu Á Châu AIG,1,9613.38,CTCP Nguyên liệu Á Châu AIG | Nguyên liệu Á Châu AIG,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ALC,TICKER,ALC,CTCP Âu Lạc,1,1157.65,CTCP Âu Lạc | Âu Lạc,,,,,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx
TICKER:AMD,TICKER,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,2,179.86,CTCP Đầu tư và Khoáng sản FLC Stone | Đầu tư và Khoáng sản FLC Stone,,Nguyên vật liệu,Vật liệu xây dựng,Vật liệu xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AME,TICKER,AME,CTCP Alphanam E&C,1,443.36,CTCP Alphanam E&C | Alphanam E&C,,Hàng tiêu dùng không thiết yếu,Bán lẻ,Bán lẻ,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
