entity_id,type,code,canonical_name,tier,market_cap_bil,aliases,parent,gics1,gics2,gics3,sources
TICKER:EID,TICKER,EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội,2,283.5,CTCP Đầu tư và Phát triển Giáo dục Hà Nội | Đầu tư và Phát triển Giáo dục Hà Nội,,Hàng tiêu dùng không thiết yếu,Truyền thông và xuất bản,Truyền thông và xuất bản,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ELC,TICKER,ELC,CTCP Công Nghệ - Viễn Thông Elcom,1,1566.08,CTCP Công Nghệ - Viễn Thông Elcom | Công Nghệ - Viễn Thông Elcom,,Công nghệ,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:EME,TICKER,EME,CTCP Điện cơ,2,113.41,CTCP Điện cơ | Điện cơ,,Công nghiệp,Tư liệu sản xuất,Thiết bị điện,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:EMS,TICKER,EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,1,377.99,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP | Chuyển phát nhanh Bưu Điện,,Công nghiệp,Vận tải,Hỗ trợ vận tải,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:EVE,TICKER,EVE,CTCP Everpia,1,349.27,CTCP Everpia | Everpia,,Hàng tiêu dùng không thiết yếu,Hàng tiêu dùng lâu bền và trang phục,"Dệt may & Trang phục, phụ kiện",company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:EVF,TICKER,EVF,Công ty Tài chính Tổng hợp Cổ phần Điện lực,1,8860.59,Công ty Tài chính Tổng hợp Cổ phần Điện lực,,Tài chính,Ngân hàng,Ngân hàng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:EVG,TICKER,EVG,CTCP Tập đoàn EverLand,1,915.35,CTCP Tập đoàn EverLand | EverLand,,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản phức hợp,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:EVS,TICKER,EVS,CTCP Chứng khoán EVS,1,774.56,CTCP Chứng khoán EVS | Chứng khoán EVS,,Tài chính,Công ty chứng khoán,Công ty chứng khoán,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:F88,TICKER,F88,CTCP Đầu tư F88,1,13806.53,CTCP Đầu tư F88 | Đầu tư F88,,Tài chính,Tài chính chuyên biệt khác,Tài chính chuyên biệt khác,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FCC,TICKER,FCC,CTCP Liên hợp Thực phẩm,1,479.76,CTCP Liên hợp Thực phẩm | Liên hợp Thực phẩm,,Hàng tiêu dùng không thiết yếu,Hàng tiêu dùng lâu bền và trang phục,"Khách sạn, nhà hàng & Giải trí",company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FCM,TICKER,FCM,CTCP Bê tông Phan Vũ Hà Nam,2,136.83,CTCP Bê tông Phan Vũ Hà Nam | Bê tông Phan Vũ Hà Nam,,Nguyên vật liệu,Vật liệu xây dựng,Vật liệu xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FCN,TICKER,FCN,CTCP FECON,1,1731.83,CTCP FECON | FECON,,Công nghiệp,Tư liệu sản xuất,Xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FCS,TICKER,FCS,CTCP Lương thực Thành phố Hồ Chí Minh,2,194.37,CTCP Lương thực Thành phố Hồ Chí Minh | Lương thực Thành phố Hồ Chí Minh,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FDC,TICKER,FDC,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,1,874.82,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh | Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,,Bất động sản,Quản lý và phát triển bất động sản,Vận hành bất động sản,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FHS,TICKER,FHS,CTCP Phát hành Sách Thành phố Hồ Chí Minh,1,455.22,CTCP Phát hành Sách Thành phố Hồ Chí Minh | Phát hành Sách Thành phố Hồ Chí Minh,,Hàng tiêu dùng không thiết yếu,Truyền thông và xuất bản,Truyền thông và xuất bản,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FIC,TICKER,FIC,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP,1,1981.2,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP | Vật liệu Xây dựng số 1,,Nguyên vật liệu,Vật liệu xây dựng,Vật liệu xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FIR,TICKER,FIR,CTCP Địa ốc First Real,2,201.41,CTCP Địa ốc First Real | Địa ốc First Real,,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản phức hợp,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FIT,TICKER,FIT,CTCP Tập đoàn F.I.T,1,979.01,CTCP Tập đoàn F.I.T | F.I.T,,Y tế,Dược phẩm & Công nghệ sinh học,Dược phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FLC,TICKER,FLC,CTCP Tập đoàn FLC,1,2484.99,CTCP Tập đoàn FLC | FLC,,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản phức hợp,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FMC,TICKER,FMC,CTCP Thực phẩm Sao Ta,1,2164.37,CTCP Thực phẩm Sao Ta | Thực phẩm Sao Ta,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FOC,TICKER,FOC,CTCP Dịch vụ Trực tuyến FPT,1,1129.14,CTCP Dịch vụ Trực tuyến FPT | Dịch vụ Trực tuyến FPT,,Hàng tiêu dùng không thiết yếu,Truyền thông và xuất bản,Truyền thông và xuất bản,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FOX,TICKER,FOX,CTCP Viễn thông FPT,1,44990.69,CTCP Viễn thông FPT | Viễn thông FPT,,Dịch vụ viễn thông,Dịch vụ viễn thông,Dịch vụ viễn thông đa ngành,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FPT,TICKER,FPT,CTCP FPT,1,124117.23,CTCP FPT | FPT | FPT Corporation | Tập đoàn FPT,,Công nghệ,Phần mềm,Phần mềm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FRM,TICKER,FRM,CTCP Lâm Nghiệp Sài Gòn,2,134.55,CTCP Lâm Nghiệp Sài Gòn | Lâm Nghiệp Sài Gòn,,Nguyên vật liệu,Giấy và các sản phẩm từ gỗ,Gỗ và các sản phẩm từ gỗ,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FRT,TICKER,FRT,CTCP Bán lẻ Kỹ thuật số FPT,1,23782.4,CTCP Bán lẻ Kỹ thuật số FPT | Bán lẻ Kỹ thuật số FPT | FPT Retail,,Hàng tiêu dùng không thiết yếu,Bán lẻ,Bán lẻ,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FT1,TICKER,FT1,CTCP Phụ tùng Máy số 1,2,273.99,CTCP Phụ tùng Máy số 1 | Phụ tùng Máy số 1,,Hàng tiêu dùng không thiết yếu,Ô tô & Phụ tùng,Nhà sản xuất ô tô và thiết bị ô tô,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:FTS,TICKER,FTS,CTCP Chứng khoán FPT,1,7661.03,CTCP Chứng khoán FPT | Chứng khoán FPT,,Tài chính,Công ty chứng khoán,Công ty chứng khoán,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUCTVGF1,ETF,FUCTVGF1,FUCTVGF1,1,,,,Tài chính,Quỹ,Quỹ,industry_classification/industry_classification.xlsx
ETF:FUCTVGF2,ETF,FUCTVGF2,FUCTVGF2,1,,,,Tài chính,Quỹ,Quỹ,industry_classification/industry_classification.xlsx
ETF:FUCTVGF3,ETF,FUCTVGF3,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,1,,Quỹ Đầu tư Tăng trưởng Thiên Việt 3 | Tăng trưởng Thiên Việt 3,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUCTVGF4,ETF,FUCTVGF4,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,1,,Quỹ Đầu tư Tăng trưởng Thiên Việt 4 | Tăng trưởng Thiên Việt 4,,,,,company_data/etf_name.xlsx
ETF:FUCTVGF5,ETF,FUCTVGF5,Quỹ đầu tư tăng trưởng Thiên Việt 5,1,,Quỹ đầu tư tăng trưởng Thiên Việt 5 | tăng trưởng Thiên Việt 5,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUCVREIT,ETF,FUCVREIT,Quỹ đầu tư Bất động sản Techcom Việt Nam,1,,Quỹ đầu tư Bất động sản Techcom Việt Nam | Bất động sản Techcom Việt Nam,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUEABVND,ETF,FUEABVND,Chứng chỉ Quỹ ETF ABFVN DIAMOND,1,,Chứng chỉ Quỹ ETF ABFVN DIAMOND | ABFVN DIAMOND,,,,,company_data/etf_name.xlsx
ETF:FUEBFVND,ETF,FUEBFVND,Chứng chỉ Quỹ ETF BVFVN DIAMOND,1,,Chứng chỉ Quỹ ETF BVFVN DIAMOND | BVFVN DIAMOND,,,,,company_data/etf_name.xlsx
ETF:FUEDCMID,ETF,FUEDCMID,Chứng chỉ Quỹ ETF DCVFMVNMIDCAP,1,,Chứng chỉ Quỹ ETF DCVFMVNMIDCAP | DCVFMVNMIDCAP,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUEFCV50,ETF,FUEFCV50,Chứng chỉ Quỹ ETF FPT CAPITAL VNX50,1,,Chứng chỉ Quỹ ETF FPT CAPITAL VNX50 | FPT CAPITAL VNX50,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUEIP100,ETF,FUEIP100,Chứng chỉ Quỹ ETF IPAAM VN100,1,,Chứng chỉ Quỹ ETF IPAAM VN100 | IPAAM VN100,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUEKIV30,ETF,FUEKIV30,Chứng chỉ Quỹ ETF KIM GROWTH VN30,1,,Chứng chỉ Quỹ ETF KIM GROWTH VN30 | KIM GROWTH VN30,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUEKIVFS,ETF,FUEKIVFS,Chứng chỉ Quỹ ETF Kim Growth VNFINSELECT,1,,Chứng chỉ Quỹ ETF Kim Growth VNFINSELECT | Kim Growth VNFINSELECT,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUEKIVND,ETF,FUEKIVND,Chứng chỉ Quỹ ETF KIM GROWTH VN DIAMOND,1,,Chứng chỉ Quỹ ETF KIM GROWTH VN DIAMOND | KIM GROWTH VN DIAMOND,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUEMAV30,ETF,FUEMAV30,Quỹ ETF MAFM VN30,1,,Quỹ ETF MAFM VN30 | MAFM VN30,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUEMAVND,ETF,FUEMAVND,Chứng chỉ Quỹ ETF MAFM VNDIAMOND,1,,Chứng chỉ Quỹ ETF MAFM VNDIAMOND | MAFM VNDIAMOND,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUEMITEC,ETF,FUEMITEC,Quỹ ETF VINACAPITAL VNMITECH,1,,Quỹ ETF VINACAPITAL VNMITECH | VINACAPITAL VNMITECH,,,,,company_data/etf_name.xlsx
ETF:FUESSV30,ETF,FUESSV30,Quỹ ETF SSIAM VN30,1,,Quỹ ETF SSIAM VN30 | SSIAM VN30,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUESSV50,ETF,FUESSV50,Quỹ ETF SSIAM VNX50,1,,Quỹ ETF SSIAM VNX50 | SSIAM VNX50,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUESSVFL,ETF,FUESSVFL,Quỹ ETF SSIAM VNFIN LEAD,1,,Quỹ ETF SSIAM VNFIN LEAD | SSIAM VNFIN LEAD,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUETCC50,ETF,FUETCC50,Chứng chỉ Quỹ ETF TECHCOM CAPITAL VNX50,1,,Chứng chỉ Quỹ ETF TECHCOM CAPITAL VNX50 | TECHCOM CAPITAL VNX50,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUETPVND,ETF,FUETPVND,Chứng chỉ quỹ ETF VFCVN DIAMOND,1,,Chứng chỉ quỹ ETF VFCVN DIAMOND | VFCVN DIAMOND,,,,,company_data/etf_name.xlsx
ETF:FUEVFVND,ETF,FUEVFVND,Quỹ ETF DCVFMVN DIAMOND,1,,Quỹ ETF DCVFMVN DIAMOND | DCVFMVN DIAMOND,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUEVN100,ETF,FUEVN100,Quỹ ETF VINACAPITAL VN100,1,,Quỹ ETF VINACAPITAL VN100 | VINACAPITAL VN100,,Tài chính,Quỹ,Quỹ,company_data/etf_name.xlsx ; industry_classification/industry_classification.xlsx
ETF:FUEVN50G,ETF,FUEVN50G,Quỹ ETF VINACAPITAL VN50 GROWTH,1,,Quỹ ETF VINACAPITAL VN50 GROWTH | VINACAPITAL VN50 GROWTH,,,,,company_data/etf_name.xlsx
TICKER:G36,TICKER,G36,Tổng Công ty 36 - CTCP,1,798.84,Tổng Công ty 36 - CTCP,,Công nghiệp,Tư liệu sản xuất,Xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GAB,TICKER,GAB,CTCP Đầu tư Khai Khoáng và Quản lý Tài sản FLC,1,2927.14,CTCP Đầu tư Khai Khoáng và Quản lý Tài sản FLC | Đầu tư Khai Khoáng và Quản lý Tài sản FLC,,Nguyên vật liệu,Vật liệu xây dựng,Vật liệu xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GAS,TICKER,GAS,Tổng Công ty Khí Việt Nam - CTCP,1,206789.79,Tổng Công ty Khí Việt Nam - CTCP | Khí Việt Nam | PV GAS | PV Gas | PVGas,,Năng lượng,Năng lượng,Dầu khí,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GCF,TICKER,GCF,CTCP Thực phẩm G.C,1,821.68,CTCP Thực phẩm G.C | Thực phẩm G.C,,Hàng tiêu dùng không thiết yếu,Bán lẻ,Bán lẻ,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GDA,TICKER,GDA,CTCP Tôn Đông Á,1,1804.1,CTCP Tôn Đông Á | Tôn Đông Á,,Nguyên vật liệu,Kim loại & Khai khoáng,Thép,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GDH,TICKER,GDH,CTCP Tập đoàn GDC,2,149.4,CTCP Tập đoàn GDC | GDC,,,,,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx
TICKER:GDT,TICKER,GDT,CTCP Chế biến Gỗ Đức Thành,1,427.79,CTCP Chế biến Gỗ Đức Thành | Chế biến Gỗ Đức Thành,,Nguyên vật liệu,Giấy và các sản phẩm từ gỗ,Gỗ và các sản phẩm từ gỗ,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GDW,TICKER,GDW,CTCP Cấp nước Gia Định,1,315.4,CTCP Cấp nước Gia Định | Cấp nước Gia Định,,Dịch vụ công cộng,Dịch vụ công cộng,Nước,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GEE,TICKER,GEE,CTCP Điện lực Gelex,1,36956.8,CTCP Điện lực Gelex | Điện lực Gelex,,Công nghiệp,Tư liệu sản xuất,Thiết bị điện,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GEG,TICKER,GEG,CTCP Điện Gia Lai,1,4665.13,CTCP Điện Gia Lai | Điện Gia Lai,,Dịch vụ công cộng,Dịch vụ công cộng,Điện,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GEL,TICKER,GEL,CTCP Hạ tầng GELEX,1,20224.0,CTCP Hạ tầng GELEX | Hạ tầng GELEX,,,,,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx
TICKER:GEX,TICKER,GEX,CTCP Tập đoàn GELEX,1,29178.91,CTCP Tập đoàn GELEX | GELEX,,Công nghiệp,Tư liệu sản xuất,Thiết bị điện,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GGG,TICKER,GGG,CTCP Ô tô Giải Phóng,2,103.72,CTCP Ô tô Giải Phóng | Ô tô Giải Phóng,,Hàng tiêu dùng không thiết yếu,Ô tô & Phụ tùng,Nhà sản xuất ô tô và thiết bị ô tô,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GHC,TICKER,GHC,CTCP Thủy điện Gia Lai,1,1182.03,CTCP Thủy điện Gia Lai | Thủy điện Gia Lai,,Dịch vụ công cộng,Dịch vụ công cộng,Điện,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GIC,TICKER,GIC,CTCP VSC Green Logistics,1,302.88,CTCP VSC Green Logistics | VSC Green Logistics,,Công nghiệp,Vận tải,Hỗ trợ vận tải,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GIL,TICKER,GIL,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh,1,767.05,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh | Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh,,Hàng tiêu dùng không thiết yếu,Hàng tiêu dùng lâu bền và trang phục,"Dệt may & Trang phục, phụ kiện",company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GLT,TICKER,GLT,CTCP Kỹ thuật Điện Toàn cầu,2,273.27,CTCP Kỹ thuật Điện Toàn cầu | Kỹ thuật Điện Toàn cầu,,Dịch vụ viễn thông,Dịch vụ viễn thông,Dịch vụ viễn thông đa ngành,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GLW,TICKER,GLW,CTCP Cấp thoát nước Gia Lai,2,239.4,CTCP Cấp thoát nước Gia Lai | Cấp thoát nước Gia Lai,,Dịch vụ công cộng,Dịch vụ công cộng,Nước,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GMA,TICKER,GMA,CTCP G-Automobile,1,1140.0,CTCP G-Automobile | G-Automobile,,Công nghiệp,Tư liệu sản xuất,Máy công nghiệp,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GMC,TICKER,GMC,CTCP Garmex Sài Gòn,2,131.8,CTCP Garmex Sài Gòn | Garmex Sài Gòn,,Hàng tiêu dùng không thiết yếu,Hàng tiêu dùng lâu bền và trang phục,"Dệt may & Trang phục, phụ kiện",company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GMD,TICKER,GMD,CTCP Tập đoàn Gemadept,1,32293.78,CTCP Tập đoàn Gemadept | Gemadept,,Công nghiệp,Cơ sở hạ tầng giao thông vận tải,Dịch vụ cảng biển,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GMH,TICKER,GMH,CTCP Minh Hưng Quảng Trị,2,113.19,CTCP Minh Hưng Quảng Trị | Minh Hưng Quảng Trị,,Nguyên vật liệu,Vật liệu xây dựng,Vật liệu xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GMX,TICKER,GMX,CTCP Gạch ngói Gốm Xây dựng Mỹ Xuân,2,155.39,CTCP Gạch ngói Gốm Xây dựng Mỹ Xuân | Gạch ngói Gốm Xây dựng Mỹ Xuân,,Nguyên vật liệu,Vật liệu xây dựng,Vật liệu xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GND,TICKER,GND,CTCP Gạch ngói Đồng Nai,2,233.1,CTCP Gạch ngói Đồng Nai | Gạch ngói Đồng Nai,,Nguyên vật liệu,Vật liệu xây dựng,Vật liệu xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GPC,TICKER,GPC,CTCP Tập đoàn Green+,2,102.74,CTCP Tập đoàn Green+ | Green+,,Hàng tiêu dùng không thiết yếu,Bán lẻ,Bán lẻ,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GSM,TICKER,GSM,CTCP Thủy điện Hương Sơn,1,694.06,CTCP Thủy điện Hương Sơn | Thủy điện Hương Sơn,,Dịch vụ công cộng,Dịch vụ công cộng,Điện,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GSP,TICKER,GSP,CTCP Vận tải Sản Phẩm Khí Quốc tế,1,718.92,CTCP Vận tải Sản Phẩm Khí Quốc tế | Vận tải Sản Phẩm Khí Quốc tế,,Công nghiệp,Vận tải,Vận tải biển,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GTD,TICKER,GTD,CTCP Giầy Thượng Đình,1,889.08,CTCP Giầy Thượng Đình | Giầy Thượng Đình,,Hàng tiêu dùng không thiết yếu,Hàng tiêu dùng lâu bền và trang phục,"Dệt may & Trang phục, phụ kiện",company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GTS,TICKER,GTS,CTCP Công trình Giao thông Sài Gòn,2,293.55,CTCP Công trình Giao thông Sài Gòn | Công trình Giao thông Sài Gòn,,Công nghiệp,Tư liệu sản xuất,Xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GVR,TICKER,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,1,119800.0,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP | Công nghiệp Cao su Việt Nam | Tập đoàn Công nghiệp Cao su Việt Nam | Cao su Việt Nam,,Hàng tiêu dùng không thiết yếu,Ô tô & Phụ tùng,Lốp & Cao su,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:GVT,TICKER,GVT,CTCP Giấy Việt Trì,1,817.0,CTCP Giấy Việt Trì | Giấy Việt Trì,,Nguyên vật liệu,Giấy và các sản phẩm từ gỗ,Giấy,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:HAC,TICKER,HAC,CTCP Chứng khoán Hải Phòng,2,262.59,CTCP Chứng khoán Hải Phòng | Chứng khoán Hải Phòng,,Tài chính,Công ty chứng khoán,Công ty chứng khoán,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:HAF,TICKER,HAF,CTCP Thực phẩm Hà Nội,2,246.5,CTCP Thực phẩm Hà Nội | Thực phẩm Hà Nội,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:HAG,TICKER,HAG,CTCP Hoàng Anh Gia Lai,1,17426.74,CTCP Hoàng Anh Gia Lai | Hoàng Anh Gia Lai,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
